REWARD PER EPISODE FOR SARSA
Reward for episode 243: -517.
Reward for episode 244: -540.
Reward for episode 245: -1050.
Reward for episode 246: -1000.
Reward for episode 247: -1050.
Reward for episode 248: -1000.
Reward for episode 249: -1000.
Reward for episode 250: -1050.
Reward for episode 251: -1050.
Reward for episode 252: -1000.
Reward for episode 253: -1000.
Reward for episode 254: -1000.
Reward for episode 255: -1000.
Reward for episode 256: -317.
Reward for episode 257: -160.
Reward for episode 258: -304.
Reward for episode 259: 79.
Reward for episode 260: 81.
Reward for episode 261: 81.
Reward for episode 262: 58.
Reward for episode 263: 75.
Reward for episode 264: -396.
Reward for episode 265: -639.
Reward for episode 266: 37.
Reward for episode 267: -267.
Reward for episode 268: -63.
Reward for episode 269: 41.
Reward for episode 270: 46.
Reward for episode 271: -45.
Reward for episode 272: 62.
Reward for episode 273: 60.
Reward for episode 274: -1100.
Reward for episode 275: -1050.
Reward for episode 276: -1300.
Reward for episode 277: -1050.
Reward for episode 278: -198.
Reward for episode 279: -254.
Reward for episode 280: -27.
Reward for episode 281: -453.
Reward for episode 282: 25.
Reward for episode 283: 35.
Reward for episode 284: 68.
Reward for episode 285: 60.
Reward for episode 286: -642.
Reward for episode 287: -157.
Reward for episode 288: -1000.
Reward for episode 289: -675.
Reward for episode 290: -748.
Reward for episode 291: -110.
Reward for episode 292: -432.
Reward for episode 293: -651.
Reward for episode 294: 86.
Reward for episode 295: 85.
Reward for episode 296: 60.
Reward for episode 297: -368.
Reward for episode 298: -616.
Reward for episode 299: -1000.
Reward for episode 300: -1000.
Reward for episode 301: -1050.
Reward for episode 302: 36.
Reward for episode 303: -246.
Reward for episode 304: -64.
Reward for episode 305: 67.
Reward for episode 306: -691.
Reward for episode 307: 49.
Reward for episode 308: -130.
Reward for episode 309: 51.
Reward for episode 310: -226.
Reward for episode 311: -30.
Reward for episode 312: -588.
Reward for episode 313: 39.
Reward for episode 314: 19.
Reward for episode 315: 75.
Reward for episode 316: 5.
Reward for episode 317: -181.
Reward for episode 318: -1050.
Reward for episode 319: -1000.
Reward for episode 320: -1000.
Reward for episode 321: -552.
Reward for episode 322: -258.
Reward for episode 323: -342.
Reward for episode 324: -789.
Reward for episode 325: -97.
Reward for episode 326: 51.
Reward for episode 327: 51.
Reward for episode 328: -221.
